month,trip_id,vehicle_id,started_at,ended_at,duration,start_location_name,end_location_name,user_id,trip_ledger_id
June,1757271,9469462,2019-06-02 01:49:00,6/2/2019 2:00,0:10:59,"2005 N Plaza St NW, Albuquerque, NM 87104, USA","2005 N Plaza St NW, Albuquerque, NM 87104, USA",37520640,1627846
June,1757280,8658723,2019-06-02 01:49:00,6/2/2019 2:26,0:36:54,"320 Arno St NE, Albuquerque, NM 87102, USA","301 Central Ave NE, Albuquerque, NM 87102, USA",36085485,1628292
June,1757283,8192169,2019-06-02 01:49:00,6/2/2019 1:54,0:04:11,"901 Park Ave SW, Albuquerque, NM 87102, USA","901 Park Ave SW, Albuquerque, NM 87102, USA",37774401,1627740
June,1757299,6407080,2019-06-02 01:51:00,6/2/2019 1:54,0:03:37,"417 Gold Ave SW, Albuquerque, NM 87102, USA","412 Gold Ave SW, Albuquerque, NM 87102, USA",37790503,1627754
June,1757303,1221572,2019-06-02 01:51:00,6/2/2019 2:49,0:58:01,"2nd @ Marquette, Albuquerque, NM 87102, USA","201 Marquette Ave NW, Albuquerque, NM 87102, USA",35829722,1628667
June,1757308,8120438,2019-06-02 01:51:00,6/2/2019 2:11,0:20:13,"301 Central Ave NE, Albuquerque, NM 87102, USA","301 Central Ave NE, Albuquerque, NM 87102, USA",37791095,1628054
June,1757322,1039812,2019-06-02 01:52:00,6/2/2019 2:11,0:19:10,"301 Central Ave NE, Albuquerque, NM 87102, USA","301 Central Ave NE, Albuquerque, NM 87102, USA",37789393,1628051
June,1757337,3507942,2019-06-02 01:53:00,6/2/2019 2:09,0:16:25,"1912 2nd St NW, Albuquerque, NM 87102, USA","1021 1st St NW, Albuquerque, NM 87102, USA",37778108,1628024
June,1757341,4111721,2019-06-02 01:53:00,6/2/2019 2:25,0:31:49,"401 2nd St NW, Albuquerque, NM 87102, USA","401 3rd St NW, Albuquerque, NM 87102, USA",37766592,1628276
June,1757348,4960654,2019-06-02 01:53:00,6/4/2019 1:20,47:27:04,"Albuquerque Convention Center, Albuquerque, NM 87102, USA",,37767172,1654108
June,1757392,7580658,2019-06-02 01:55:00,6/2/2019 2:04,0:08:33,"404 Lafayette Pl NE, Albuquerque, NM 87106, USA","Chemistry (Clark Hall), Albuquerque, NM 87106, USA",35610475,1627923
June,1757403,8258488,2019-06-02 01:56:00,6/2/2019 1:57,0:01:29,"412 Gold Ave SW, Albuquerque, NM 87102, USA","412 Gold Ave SW, Albuquerque, NM 87102, USA",37782735,1627805
June,1757404,1591106,2019-06-02 01:56:00,6/2/2019 2:07,0:11:14,"417 Gold Ave SW, Albuquerque, NM 87102, USA","929 Alcalde Pl SW, Albuquerque, NM 87104, USA",37783199,1627968
June,1757406,6407080,2019-06-02 01:56:00,6/2/2019 2:07,0:11:11,"418 Gold Ave SW, Albuquerque, NM 87102, USA","Kit Carson Park, 1744 Kit Carson Ave SW, Albuquerque, NM 87104, USA",37782060,1627966
June,1757407,9984291,2019-06-02 01:56:00,6/2/2019 2:07,0:11:40,"418 Gold Ave SW, Albuquerque, NM 87102, USA","Kit Carson Park, 1744 Kit Carson Ave SW, Albuquerque, NM 87104, USA",37782696,1627977
June,1757440,1575055,2019-06-02 01:57:00,6/2/2019 2:09,0:12:24,"1912 2nd St NW, Albuquerque, NM 87102, USA","1021 1st St NW, Albuquerque, NM 87102, USA",37770718,1628019
June,1757448,4550171,2019-06-02 01:57:00,6/2/2019 2:07,0:09:53,"412 Gold Ave SW, Albuquerque, NM 87102, USA",,37783957,1627975
June,1757451,6402509,2019-06-02 01:58:00,6/2/2019 2:07,0:09:40,"412 Gold Ave SW, Albuquerque, NM 87102, USA","Kit Carson Park, 1744 Kit Carson Ave SW, Albuquerque, NM 87104, USA",37782735,1627974
June,1757453,8084578,2019-06-02 01:58:00,6/2/2019 2:07,0:09:23,"412 Gold Ave SW, Albuquerque, NM 87102, USA","929 Alcalde Pl SW, Albuquerque, NM 87104, USA",37240131,1627971
June,1757460,7917886,2019-06-02 01:58:00,6/2/2019 2:13,0:15:30,"510 2nd St NW, Albuquerque, NM 87102, USA","401 3rd St NW, Albuquerque, NM 87102, USA",37791895,1628085
June,1757461,8349931,2019-06-02 01:58:00,6/2/2019 2:12,0:14:19,"510 2nd St NW, Albuquerque, NM 87102, USA","401 3rd St NW, Albuquerque, NM 87102, USA",37787491,1628061
June,1757498,8114348,2019-06-02 01:59:00,6/2/2019 2:13,0:13:35,"2nd @ Marquette, Albuquerque, NM 87102, USA","105 4th St SW, Albuquerque, NM 87102, USA",37745242,1628068
June,1757503,5683625,2019-06-02 01:59:00,6/2/2019 2:13,0:13:33,"Albuquerque Convention Center, Albuquerque, NM 87102, USA","402 Central Ave SW, Albuquerque, NM 87102, USA",37751241,1628069
June,1757519,8800672,2019-06-02 02:00:00,6/2/2019 2:34,0:33:27,"412 Gold Ave SW, Albuquerque, NM 87102, USA","417 Gold Ave SW, Albuquerque, NM 87102, USA",37792036,1628406
June,1757523,7785676,2019-06-02 02:00:00,6/2/2019 2:07,0:06:28,"401 2nd St NW, Albuquerque, NM 87102, USA","2nd @ Marquette, Albuquerque, NM 87102, USA",37792942,1627970
June,1757529,2380653,2019-06-02 02:01:00,6/2/2019 2:20,0:19:05,"609 Gold Ave SW, Albuquerque, NM 87102, USA","609 Gold Ave SW, Albuquerque, NM 87102, USA",37769496,1628193
June,1757539,2373692,2019-06-02 02:02:00,6/2/2019 2:10,0:07:57,"1501 1st St NW, Albuquerque, NM 87102, USA","1021 1st St NW, Albuquerque, NM 87102, USA",37779232,1628027
June,1757554,9913678,2019-06-02 02:02:00,6/2/2019 2:34,0:32:03,"418 Gold Ave SW, Albuquerque, NM 87102, USA","418 Gold Ave SW, Albuquerque, NM 87102, USA",37500039,1628419
June,1757589,1553594,2019-06-02 02:05:00,6/2/2019 2:17,0:12:02,"901 Park Ave SW, Albuquerque, NM 87102, USA","924 Park Ave SW, Albuquerque, NM 87102, USA",36742119,1628152
June,1757594,3526208,2019-06-02 02:06:00,6/2/2019 2:49,0:43:56,"401 2nd St NW, Albuquerque, NM 87102, USA","201 Marquette Ave NW, Albuquerque, NM 87102, USA",37793055,1628676
